article_id,ticker,published_at,available_at,title,body,source,expected_label
N0053,BBB,2024-02-20T10:35:00-05:00,2024-02-20T10:35:00-05:00,BBB 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0121,DDD,2024-02-22T10:31:00-05:00,2024-02-22T10:31:00-05:00,DDD 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0071,CCC,2024-03-01T17:08:00-05:00,2024-03-04T09:30:00-05:00,CCC 需求放缓 教学新闻,This is synthetic education-only text: management flags softer demand and delayed customer orders. It is not investment advice.,synthetic_learning_news,negative
N0099,DDD,2024-03-07T17:01:00-05:00,2024-03-08T09:30:00-05:00,DDD 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0010,AAA,2024-03-08T14:05:00-05:00,2024-03-08T14:05:00-05:00,AAA 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0058,BBB,2024-03-11T14:44:00-04:00,2024-03-11T14:44:00-04:00,BBB 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0065,CCC,2024-03-13T10:02:00-04:00,2024-03-13T10:02:00-04:00,CCC 需求放缓 教学新闻,This is synthetic education-only text: management flags softer demand and delayed customer orders. It is not investment advice.,synthetic_learning_news,negative
N0039,BBB,2024-03-14T17:30:00-04:00,2024-03-15T09:30:00-04:00,BBB 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0111,DDD,2024-03-14T17:10:00-04:00,2024-03-15T09:30:00-04:00,DDD 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0023,AAA,2024-03-15T17:01:00-04:00,2024-03-18T09:30:00-04:00,AAA 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0043,BBB,2024-03-19T17:18:00-04:00,2024-03-20T09:30:00-04:00,BBB 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0115,DDD,2024-03-22T17:07:00-04:00,2024-03-25T09:30:00-04:00,DDD 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0034,BBB,2024-03-25T14:08:00-04:00,2024-03-25T14:08:00-04:00,BBB 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0021,AAA,2024-03-26T10:42:00-04:00,2024-03-26T10:42:00-04:00,AAA 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0038,BBB,2024-03-26T14:27:00-04:00,2024-03-26T14:27:00-04:00,BBB 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0024,AAA,2024-03-26T20:05:00-04:00,2024-03-27T09:30:00-04:00,AAA 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0122,DDD,2024-03-27T14:09:00-04:00,2024-03-27T14:09:00-04:00,DDD 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0076,CCC,2024-03-29T20:10:00-04:00,2024-04-01T09:30:00-04:00,CCC 行业观察 教学新闻,This is synthetic education-only text: sector conditions remain mixed in this synthetic note. It is not investment advice.,synthetic_learning_news,neutral
N0075,CCC,2024-04-02T17:48:00-04:00,2024-04-03T09:30:00-04:00,CCC 成本改善 教学新闻,This is synthetic education-only text: operating costs improved while customer retention stayed firm. It is not investment advice.,synthetic_learning_news,positive
N0015,AAA,2024-04-09T17:46:00-04:00,2024-04-10T09:30:00-04:00,AAA 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0127,DDD,2024-04-15T17:46:00-04:00,2024-04-16T09:30:00-04:00,DDD 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0011,AAA,2024-04-16T17:44:00-04:00,2024-04-17T09:30:00-04:00,AAA 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0120,DDD,2024-04-18T20:39:00-04:00,2024-04-19T09:30:00-04:00,DDD 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0103,DDD,2024-04-25T17:29:00-04:00,2024-04-26T09:30:00-04:00,DDD 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0133,EEE,2024-05-01T10:14:00-04:00,2024-05-01T10:14:00-04:00,EEE 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0137,EEE,2024-05-01T10:23:00-04:00,2024-05-01T10:23:00-04:00,EEE 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0081,CCC,2024-05-01T10:41:00-04:00,2024-05-01T10:41:00-04:00,CCC 成本改善 教学新闻,This is synthetic education-only text: operating costs improved while customer retention stayed firm. It is not investment advice.,synthetic_learning_news,positive
N0085,CCC,2024-05-02T10:07:00-04:00,2024-05-02T10:07:00-04:00,CCC 行业观察 教学新闻,This is synthetic education-only text: sector conditions remain mixed in this synthetic note. It is not investment advice.,synthetic_learning_news,neutral
N0032,AAA,2024-05-02T20:28:00-04:00,2024-05-03T09:30:00-04:00,AAA 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0049,BBB,2024-05-03T10:20:00-04:00,2024-05-03T10:20:00-04:00,BBB 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0016,AAA,2024-05-07T20:28:00-04:00,2024-05-08T09:30:00-04:00,AAA 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0008,AAA,2024-05-08T20:49:00-04:00,2024-05-09T09:30:00-04:00,AAA 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0109,DDD,2024-05-09T10:22:00-04:00,2024-05-09T10:22:00-04:00,DDD 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0136,EEE,2024-05-14T20:31:00-04:00,2024-05-15T09:30:00-04:00,EEE 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0018,AAA,2024-05-22T14:07:00-04:00,2024-05-22T14:07:00-04:00,AAA 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0025,AAA,2024-05-23T10:41:00-04:00,2024-05-23T10:41:00-04:00,AAA 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0154,EEE,2024-05-23T14:24:00-04:00,2024-05-23T14:24:00-04:00,EEE 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0030,AAA,2024-05-27T14:12:00-04:00,2024-05-27T14:12:00-04:00,AAA 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0083,CCC,2024-05-30T17:33:00-04:00,2024-05-31T09:30:00-04:00,CCC 需求放缓 教学新闻,This is synthetic education-only text: management flags softer demand and delayed customer orders. It is not investment advice.,synthetic_learning_news,negative
N0026,AAA,2024-06-05T14:28:00-04:00,2024-06-05T14:28:00-04:00,AAA 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0041,BBB,2024-06-06T10:34:00-04:00,2024-06-06T10:34:00-04:00,BBB 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0092,CCC,2024-06-10T20:33:00-04:00,2024-06-11T09:30:00-04:00,CCC 需求放缓 教学新闻,This is synthetic education-only text: management flags softer demand and delayed customer orders. It is not investment advice.,synthetic_learning_news,negative
N0078,CCC,2024-06-11T14:46:00-04:00,2024-06-11T14:46:00-04:00,CCC 成本改善 教学新闻,This is synthetic education-only text: operating costs improved while customer retention stayed firm. It is not investment advice.,synthetic_learning_news,positive
N0150,EEE,2024-06-13T14:09:00-04:00,2024-06-13T14:09:00-04:00,EEE 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0046,BBB,2024-06-18T14:27:00-04:00,2024-06-18T14:27:00-04:00,BBB 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0116,DDD,2024-06-18T20:47:00-04:00,2024-06-19T09:30:00-04:00,DDD 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0057,BBB,2024-06-26T10:03:00-04:00,2024-06-26T10:03:00-04:00,BBB 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0091,CCC,2024-06-27T17:33:00-04:00,2024-06-28T09:30:00-04:00,CCC 行业观察 教学新闻,This is synthetic education-only text: sector conditions remain mixed in this synthetic note. It is not investment advice.,synthetic_learning_news,neutral
N0149,EEE,2024-06-28T10:31:00-04:00,2024-06-28T10:31:00-04:00,EEE 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0130,EEE,2024-07-01T14:00:00-04:00,2024-07-01T14:00:00-04:00,EEE 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0090,CCC,2024-07-03T14:25:00-04:00,2024-07-03T14:25:00-04:00,CCC 成本改善 教学新闻,This is synthetic education-only text: operating costs improved while customer retention stayed firm. It is not investment advice.,synthetic_learning_news,positive
N0029,AAA,2024-07-04T10:42:00-04:00,2024-07-04T10:42:00-04:00,AAA 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0037,BBB,2024-07-05T10:44:00-04:00,2024-07-05T10:44:00-04:00,BBB 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0126,DDD,2024-07-08T14:10:00-04:00,2024-07-08T14:10:00-04:00,DDD 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0045,BBB,2024-07-09T10:10:00-04:00,2024-07-09T10:10:00-04:00,BBB 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0110,DDD,2024-07-09T14:16:00-04:00,2024-07-09T14:16:00-04:00,DDD 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0033,BBB,2024-07-10T10:03:00-04:00,2024-07-10T10:03:00-04:00,BBB 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0089,CCC,2024-07-11T10:05:00-04:00,2024-07-11T10:05:00-04:00,CCC 需求放缓 教学新闻,This is synthetic education-only text: management flags softer demand and delayed customer orders. It is not investment advice.,synthetic_learning_news,negative
N0128,DDD,2024-07-11T20:10:00-04:00,2024-07-12T09:30:00-04:00,DDD 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0040,BBB,2024-07-15T20:21:00-04:00,2024-07-16T09:30:00-04:00,BBB 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0107,DDD,2024-07-15T17:21:00-04:00,2024-07-16T09:30:00-04:00,DDD 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0138,EEE,2024-07-17T14:14:00-04:00,2024-07-17T14:14:00-04:00,EEE 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0007,AAA,2024-07-19T17:38:00-04:00,2024-07-22T09:30:00-04:00,AAA 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0087,CCC,2024-07-19T17:13:00-04:00,2024-07-22T09:30:00-04:00,CCC 成本改善 教学新闻,This is synthetic education-only text: operating costs improved while customer retention stayed firm. It is not investment advice.,synthetic_learning_news,positive
N0031,AAA,2024-07-30T17:02:00-04:00,2024-07-31T09:30:00-04:00,AAA 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0072,CCC,2024-07-30T20:27:00-04:00,2024-07-31T09:30:00-04:00,CCC 成本改善 教学新闻,This is synthetic education-only text: operating costs improved while customer retention stayed firm. It is not investment advice.,synthetic_learning_news,positive
N0055,BBB,2024-08-02T17:06:00-04:00,2024-08-05T09:30:00-04:00,BBB 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0004,AAA,2024-08-06T20:31:00-04:00,2024-08-07T09:30:00-04:00,AAA 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0129,EEE,2024-08-07T10:18:00-04:00,2024-08-07T10:18:00-04:00,EEE 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0141,EEE,2024-08-16T10:24:00-04:00,2024-08-16T10:24:00-04:00,EEE 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0117,DDD,2024-08-19T10:33:00-04:00,2024-08-19T10:33:00-04:00,DDD 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0059,BBB,2024-08-21T17:41:00-04:00,2024-08-22T09:30:00-04:00,BBB 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0131,EEE,2024-08-21T17:21:00-04:00,2024-08-22T09:30:00-04:00,EEE 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0098,DDD,2024-08-26T14:26:00-04:00,2024-08-26T14:26:00-04:00,DDD 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0106,DDD,2024-08-27T14:36:00-04:00,2024-08-27T14:36:00-04:00,DDD 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0113,DDD,2024-08-29T10:38:00-04:00,2024-08-29T10:38:00-04:00,DDD 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0074,CCC,2024-08-29T14:23:00-04:00,2024-08-29T14:23:00-04:00,CCC 需求放缓 教学新闻,This is synthetic education-only text: management flags softer demand and delayed customer orders. It is not investment advice.,synthetic_learning_news,negative
N0022,AAA,2024-09-02T14:19:00-04:00,2024-09-02T14:19:00-04:00,AAA 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0006,AAA,2024-09-06T14:00:00-04:00,2024-09-06T14:00:00-04:00,AAA 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0064,BBB,2024-09-09T20:30:00-04:00,2024-09-10T09:30:00-04:00,BBB 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0148,EEE,2024-09-09T20:05:00-04:00,2024-09-10T09:30:00-04:00,EEE 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0054,BBB,2024-09-18T14:38:00-04:00,2024-09-18T14:38:00-04:00,BBB 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0061,BBB,2024-09-19T10:21:00-04:00,2024-09-19T10:21:00-04:00,BBB 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0082,CCC,2024-09-19T14:35:00-04:00,2024-09-19T14:35:00-04:00,CCC 行业观察 教学新闻,This is synthetic education-only text: sector conditions remain mixed in this synthetic note. It is not investment advice.,synthetic_learning_news,neutral
N0044,BBB,2024-09-24T20:49:00-04:00,2024-09-25T09:30:00-04:00,BBB 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0144,EEE,2024-09-24T20:48:00-04:00,2024-09-25T09:30:00-04:00,EEE 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0070,CCC,2024-09-25T14:21:00-04:00,2024-09-25T14:21:00-04:00,CCC 行业观察 教学新闻,This is synthetic education-only text: sector conditions remain mixed in this synthetic note. It is not investment advice.,synthetic_learning_news,neutral
N0088,CCC,2024-09-26T20:22:00-04:00,2024-09-27T09:30:00-04:00,CCC 行业观察 教学新闻,This is synthetic education-only text: sector conditions remain mixed in this synthetic note. It is not investment advice.,synthetic_learning_news,neutral
N0102,DDD,2024-09-30T14:38:00-04:00,2024-09-30T14:38:00-04:00,DDD 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0019,AAA,2024-10-01T17:39:00-04:00,2024-10-02T09:30:00-04:00,AAA 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0052,BBB,2024-10-02T20:14:00-04:00,2024-10-03T09:30:00-04:00,BBB 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0100,DDD,2024-10-07T20:15:00-04:00,2024-10-08T09:30:00-04:00,DDD 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0119,DDD,2024-10-14T17:31:00-04:00,2024-10-15T09:30:00-04:00,DDD 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0156,EEE,2024-10-15T20:01:00-04:00,2024-10-16T09:30:00-04:00,EEE 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0020,AAA,2024-10-16T20:01:00-04:00,2024-10-17T09:30:00-04:00,AAA 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0069,CCC,2024-10-18T10:41:00-04:00,2024-10-18T10:41:00-04:00,CCC 成本改善 教学新闻,This is synthetic education-only text: operating costs improved while customer retention stayed firm. It is not investment advice.,synthetic_learning_news,positive
N0139,EEE,2024-10-21T17:26:00-04:00,2024-10-22T09:30:00-04:00,EEE 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0145,EEE,2024-10-25T10:00:00-04:00,2024-10-25T10:00:00-04:00,EEE 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0147,EEE,2024-11-04T17:32:00-05:00,2024-11-05T09:30:00-05:00,EEE 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0142,EEE,2024-11-05T14:45:00-05:00,2024-11-05T14:45:00-05:00,EEE 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0152,EEE,2024-11-08T20:02:00-05:00,2024-11-11T09:30:00-05:00,EEE 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0047,BBB,2024-11-13T17:26:00-05:00,2024-11-14T09:30:00-05:00,BBB 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0068,CCC,2024-11-14T20:06:00-05:00,2024-11-15T09:30:00-05:00,CCC 需求放缓 教学新闻,This is synthetic education-only text: management flags softer demand and delayed customer orders. It is not investment advice.,synthetic_learning_news,negative
N0157,EEE,2024-11-15T10:05:00-05:00,2024-11-15T10:05:00-05:00,EEE 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0014,AAA,2024-11-15T14:35:00-05:00,2024-11-15T14:35:00-05:00,AAA 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0105,DDD,2024-11-19T10:25:00-05:00,2024-11-19T10:25:00-05:00,DDD 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0101,DDD,2024-11-20T10:01:00-05:00,2024-11-20T10:01:00-05:00,DDD 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0132,EEE,2024-11-27T20:37:00-05:00,2024-11-28T09:30:00-05:00,EEE 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0125,DDD,2024-11-28T10:02:00-05:00,2024-11-28T10:02:00-05:00,DDD 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0077,CCC,2024-11-29T10:07:00-05:00,2024-11-29T10:07:00-05:00,CCC 需求放缓 教学新闻,This is synthetic education-only text: management flags softer demand and delayed customer orders. It is not investment advice.,synthetic_learning_news,negative
N0066,CCC,2024-11-29T14:11:00-05:00,2024-11-29T14:11:00-05:00,CCC 成本改善 教学新闻,This is synthetic education-only text: operating costs improved while customer retention stayed firm. It is not investment advice.,synthetic_learning_news,positive
N0114,DDD,2024-12-02T14:47:00-05:00,2024-12-02T14:47:00-05:00,DDD 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0158,EEE,2024-12-04T14:30:00-05:00,2024-12-04T14:30:00-05:00,EEE 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0080,CCC,2024-12-10T20:37:00-05:00,2024-12-11T09:30:00-05:00,CCC 需求放缓 教学新闻,This is synthetic education-only text: management flags softer demand and delayed customer orders. It is not investment advice.,synthetic_learning_news,negative
N0134,EEE,2024-12-11T14:39:00-05:00,2024-12-11T14:39:00-05:00,EEE 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0017,AAA,2024-12-13T10:00:00-05:00,2024-12-13T10:00:00-05:00,AAA 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0035,BBB,2024-12-13T17:38:00-05:00,2024-12-16T09:30:00-05:00,BBB 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0096,CCC,2024-12-19T20:05:00-05:00,2024-12-20T09:30:00-05:00,CCC 成本改善 教学新闻,This is synthetic education-only text: operating costs improved while customer retention stayed firm. It is not investment advice.,synthetic_learning_news,positive
